xp_7d,empty_sessions,easy_tasks,days_since_last,streak_days,tasks_completed,session_count,goal_completion_pct,m_t,v_t,c_t,d_t,m_t_noisy,v_t_noisy,c_t_noisy,d_t_noisy,gdi_score,gdi_state,archetype,label
398.18,2,2,0.66,6,17,4,0.741,0.7964,0.2,0.2,0.0936,0.7582,0.083,0.1313,0.0352,0.2105,ENGAGED,high_engagement,0
146.91,9,6,0.6,3,4,2,0.06,0.2938,0.9,0.6,0.0858,0.1911,0.8513,0.6246,0.192,-0.2082,SILENT_RECESS,low_engagement,2
82.0,4,4,0.49,0,4,8,0.323,0.164,0.4,0.4,0.0704,0.1855,0.3512,0.436,0.1895,-0.1155,WAVERING,moderate_engagement,1
274.92,9,5,0.38,0,11,3,0.318,0.5498,0.9,0.5,0.0541,0.5271,0.9131,0.4553,0.0985,-0.0763,WAVERING,low_engagement,1
102.41,7,10,4.29,0,4,1,0.126,0.2048,0.7,1.0,0.6123,0.3483,0.6295,0.9818,0.7067,-0.4418,SILENT_RECESS,low_engagement,2
392.51,2,2,2.59,2,14,6,0.624,0.785,0.2,0.2,0.3703,0.7195,0.2587,0.2012,0.337,0.1229,ENGAGED,high_engagement,0
242.8,0,3,1.11,4,10,10,0.311,0.4856,0.0,0.3,0.1584,0.4706,0.0,0.2775,0.2067,0.0867,WAVERING,high_engagement,1
280.21,0,1,2.11,2,10,7,0.868,0.5604,0.0,0.1,0.3016,0.5329,0.0899,0.0,0.25,0.1137,ENGAGED,high_engagement,0
71.98,7,3,4.2,0,1,2,0.153,0.144,0.7,0.3,0.5995,0.141,0.8435,0.4007,0.6668,-0.3223,SILENT_RECESS,low_engagement,2
270.61,3,1,1.07,0,10,2,0.888,0.5412,0.3,0.1,0.1534,0.613,0.2329,0.1793,0.0802,0.0905,WAVERING,high_engagement,1
96.45,8,9,0.6,0,4,1,0.288,0.1929,0.8,0.9,0.086,0.2442,0.6939,0.9483,0.0,-0.2886,SILENT_RECESS,low_engagement,2
92.32,11,8,0.97,0,3,1,0.005,0.1846,1.0,0.8,0.138,0.1808,1.0,0.8416,0.0,-0.3276,SILENT_RECESS,low_engagement,2
334.52,1,0,0.73,6,13,6,0.597,0.669,0.1,0.0,0.1038,0.5794,0.0,0.148,0.197,0.2165,ENGAGED,high_engagement,0
444.67,0,2,1.85,5,17,9,0.714,0.8893,0.0,0.2,0.2638,0.9639,0.1328,0.2617,0.1733,0.2366,ENGAGED,high_engagement,0
483.0,0,1,1.37,0,18,6,0.939,0.966,0.0,0.1,0.1963,0.7392,0.0,0.2463,0.1696,0.3075,ENGAGED,high_engagement,0
174.64,6,4,1.74,2,7,5,0.472,0.3493,0.6,0.4,0.2486,0.4646,0.6752,0.4502,0.0,-0.1349,WAVERING,moderate_engagement,1
132.63,6,15,0.61,0,4,3,0.301,0.2653,0.6,1.0,0.087,0.1718,0.6264,0.9925,0.0252,-0.24,SILENT_RECESS,low_engagement,2
241.86,2,3,4.72,0,10,9,0.351,0.4837,0.2,0.3,0.6743,0.6298,0.2182,0.4698,0.7021,-0.1088,WAVERING,moderate_engagement,1
20.93,9,7,9.3,1,1,2,0.002,0.0419,0.9,0.7,1.0,0.1227,0.8912,0.9195,1.0,-0.6033,SILENT_RECESS,low_engagement,2
433.78,0,3,0.46,1,16,1,0.955,0.8676,0.0,0.3,0.0654,0.8834,0.0824,0.3696,0.0404,0.2674,ENGAGED,high_engagement,0
36.93,4,6,4.86,0,2,3,0.041,0.0739,0.4,0.6,0.6939,0.0921,0.4925,0.7588,0.6342,-0.3786,SILENT_RECESS,low_engagement,2
201.76,6,6,0.88,1,7,3,0.334,0.4035,0.6,0.6,0.1264,0.3991,0.5476,0.682,0.1643,-0.1165,WAVERING,low_engagement,1
210.5,1,6,7.56,0,8,3,0.159,0.421,0.1,0.6,1.0,0.521,0.0389,0.6242,1.0,-0.2716,SILENT_RECESS,moderate_engagement,2
149.01,8,5,7.69,5,7,3,0.085,0.298,0.8,0.5,1.0,0.1813,0.7937,0.3543,1.0,-0.4408,SILENT_RECESS,low_engagement,2
375.83,2,2,1.56,1,15,6,0.507,0.7517,0.2,0.2,0.2231,0.8585,0.2013,0.2955,0.2067,0.1537,ENGAGED,high_engagement,0
434.43,1,3,7.45,1,18,4,0.517,0.8689,0.1,0.3,1.0,0.893,0.0871,0.2895,0.9986,-0.0325,WAVERING,high_engagement,1
190.54,12,8,7.69,1,8,3,0.054,0.3811,1.0,0.8,1.0,0.5303,1.0,0.7902,0.9662,-0.5076,SILENT_RECESS,low_engagement,2
368.58,0,1,0.11,0,13,7,0.676,0.7372,0.0,0.1,0.0151,0.6632,0.0,0.0,0.0437,0.2703,ENGAGED,high_engagement,0
375.46,1,2,0.53,0,16,7,0.905,0.7509,0.1,0.2,0.0758,0.831,0.0271,0.1904,0.1847,0.2176,ENGAGED,high_engagement,0
179.82,9,8,1.08,0,6,2,0.173,0.3596,0.9,0.8,0.1549,0.3491,0.8304,0.8091,0.1401,-0.2426,SILENT_RECESS,low_engagement,2
274.1,0,3,3.83,2,11,6,0.546,0.5482,0.0,0.3,0.5475,0.5356,0.046,0.3169,0.6198,-0.005,WAVERING,high_engagement,1
243.69,0,4,1.24,2,11,2,0.33,0.4874,0.0,0.4,0.1771,0.5742,0.0309,0.2635,0.1696,0.0618,WAVERING,moderate_engagement,1
458.57,1,4,0.14,6,17,4,0.792,0.9171,0.1,0.4,0.0197,1.0,0.108,0.2707,0.2198,0.2609,ENGAGED,high_engagement,0
271.56,2,3,7.99,0,9,6,0.483,0.5431,0.2,0.3,1.0,0.5253,0.2036,0.2637,1.0,-0.1827,WAVERING,moderate_engagement,1
393.47,1,0,0.25,6,15,5,0.44,0.7869,0.1,0.0,0.036,0.7961,0.0567,0.0,0.0788,0.284,ENGAGED,high_engagement,0
333.06,1,0,0.38,5,13,4,0.817,0.6661,0.1,0.0,0.0547,0.7373,0.0436,0.0,0.0119,0.23,ENGAGED,high_engagement,0
304.3,0,2,0.28,2,11,7,0.741,0.6086,0.0,0.2,0.0394,0.5794,0.06,0.1043,0.0862,0.1916,ENGAGED,high_engagement,0
66.43,5,13,6.65,1,3,5,0.273,0.1329,0.5,1.0,0.9501,0.1947,0.5587,0.9786,0.809,-0.5319,SILENT_RECESS,low_engagement,2
205.23,2,3,5.86,0,8,7,0.305,0.4105,0.2,0.3,0.8367,0.4074,0.363,0.3885,0.8321,-0.1868,WAVERING,moderate_engagement,1
444.09,1,1,1.21,2,18,3,0.588,0.8882,0.1,0.1,0.1735,0.8621,0.0092,0.204,0.2461,0.2632,ENGAGED,high_engagement,0
356.02,0,2,2.14,0,14,8,0.816,0.712,0.0,0.2,0.3063,0.6661,0.0,0.3105,0.3758,0.1529,ENGAGED,high_engagement,0
167.97,5,6,3.52,0,8,1,0.417,0.3359,0.5,0.6,0.5027,0.312,0.3895,0.599,0.5155,-0.2364,SILENT_RECESS,moderate_engagement,2
215.05,4,2,6.42,1,10,4,0.239,0.4301,0.4,0.2,0.9166,0.4102,0.3973,0.2213,0.8684,-0.2229,SILENT_RECESS,moderate_engagement,2
85.74,4,6,4.61,3,4,2,0.004,0.1715,0.4,0.6,0.6581,0.2217,0.4032,0.5949,0.6877,-0.3288,SILENT_RECESS,low_engagement,2
169.07,4,4,6.32,1,6,6,0.391,0.3381,0.4,0.4,0.9031,0.3017,0.5436,0.3289,0.9898,-0.2957,SILENT_RECESS,moderate_engagement,2
266.21,0,1,1.31,6,11,7,0.384,0.5324,0.0,0.1,0.1873,0.5397,0.1017,0.1481,0.1692,0.1368,ENGAGED,high_engagement,0
208.05,3,7,5.08,0,9,4,0.187,0.4161,0.3,0.7,0.726,0.3814,0.28,0.8196,0.6598,-0.2513,SILENT_RECESS,moderate_engagement,2
463.83,0,1,1.34,0,18,5,0.822,0.9277,0.0,0.1,0.1912,0.9395,0.0957,0.1398,0.1752,0.2937,ENGAGED,high_engagement,0
107.99,11,4,13.25,4,4,3,0.011,0.216,1.0,0.4,1.0,0.2803,0.9705,0.3459,0.9271,-0.4936,SILENT_RECESS,low_engagement,2
147.73,5,2,1.07,0,6,3,0.141,0.2955,0.5,0.2,0.1534,0.229,0.4006,0.1019,0.1336,-0.0678,WAVERING,moderate_engagement,1
317.11,4,2,2.93,1,13,4,0.412,0.6342,0.4,0.2,0.4181,0.5849,0.2925,0.339,0.3332,0.0083,WAVERING,moderate_engagement,1
396.98,4,8,3.05,0,14,2,0.476,0.794,0.4,0.8,0.435,0.8589,0.3646,0.7488,0.3606,-0.0529,WAVERING,moderate_engagement,1
197.49,5,3,1.49,0,9,6,0.297,0.395,0.5,0.3,0.213,0.3579,0.4938,0.3851,0.2506,-0.0659,WAVERING,moderate_engagement,1
359.16,3,2,7.57,0,15,6,0.001,0.7183,0.3,0.2,1.0,0.7667,0.2731,0.0437,0.9043,-0.1127,WAVERING,moderate_engagement,1
428.25,1,3,6.22,0,17,9,0.618,0.8565,0.1,0.3,0.8888,0.8938,0.0813,0.2265,0.9643,-0.004,WAVERING,high_engagement,1
362.76,1,2,6.87,0,14,3,0.553,0.7255,0.1,0.2,0.9821,0.825,0.0,0.1852,1.0,-0.0644,WAVERING,moderate_engagement,1
328.37,2,1,0.61,6,12,5,0.625,0.6567,0.2,0.1,0.0873,0.6031,0.3016,0.0,0.1631,0.1765,ENGAGED,high_engagement,0
447.47,3,4,1.04,2,18,5,0.801,0.8949,0.3,0.4,0.1481,1.0,0.2705,0.4578,0.0254,0.1735,ENGAGED,high_engagement,0
182.0,2,3,0.12,7,7,3,0.308,0.364,0.2,0.3,0.0175,0.4691,0.2195,0.473,0.0,0.0403,WAVERING,moderate_engagement,1
485.16,0,1,1.91,2,21,9,0.752,0.9703,0.0,0.1,0.2727,1.0,0.0,0.1229,0.1868,0.2863,ENGAGED,high_engagement,0
350.83,2,0,0.44,2,14,4,0.777,0.7017,0.2,0.0,0.0632,0.7245,0.0464,0.0,0.1342,0.2217,ENGAGED,high_engagement,0
397.06,2,5,0.15,1,14,5,0.879,0.7941,0.2,0.5,0.0219,0.8118,0.2726,0.5795,0.1052,0.1711,ENGAGED,high_engagement,0
138.28,5,11,5.97,2,5,2,0.16,0.2766,0.5,1.0,0.8522,0.2897,0.5426,1.0,0.8347,-0.445,SILENT_RECESS,low_engagement,2
419.82,9,5,1.33,0,18,3,0.441,0.8396,0.9,0.5,0.1907,0.9676,0.8448,0.3313,0.0322,-0.0013,WAVERING,moderate_engagement,1
406.35,0,2,0.82,1,16,4,0.286,0.8127,0.0,0.2,0.1174,0.7842,0.0066,0.2006,0.1433,0.2499,ENGAGED,high_engagement,0
102.06,3,5,1.48,4,3,2,0.036,0.2041,0.3,0.5,0.2112,0.1374,0.2789,0.5112,0.2246,-0.1417,WAVERING,low_engagement,1
78.35,5,9,0.9,0,3,1,0.155,0.1567,0.5,0.9,0.1281,0.2413,0.5642,0.8114,0.1399,-0.2558,SILENT_RECESS,low_engagement,2
412.93,2,3,0.01,5,15,4,0.535,0.8259,0.2,0.3,0.001,0.9801,0.1407,0.3578,0.0,0.23,ENGAGED,high_engagement,0
57.57,5,8,1.37,0,2,5,0.115,0.1151,0.5,0.8,0.1956,0.1873,0.5227,0.9345,0.1564,-0.2726,SILENT_RECESS,low_engagement,2
55.54,4,4,9.11,1,3,4,0.081,0.1111,0.4,0.4,1.0,0.0017,0.449,0.5275,1.0,-0.4156,SILENT_RECESS,low_engagement,2
305.61,8,2,0.11,0,10,4,0.49,0.6112,0.8,0.2,0.0157,0.6318,0.8697,0.2261,0.1575,0.0398,WAVERING,moderate_engagement,1
262.11,4,2,5.39,3,10,8,0.527,0.5242,0.4,0.2,0.7697,0.5084,0.3691,0.0535,1.0,-0.1412,WAVERING,moderate_engagement,1
174.46,0,4,1.7,1,7,10,0.714,0.3489,0.0,0.4,0.2431,0.2932,0.0636,0.3153,0.319,-0.0134,WAVERING,high_engagement,1
466.92,1,1,3.59,5,18,2,0.556,0.9338,0.1,0.1,0.5125,1.0,0.0382,0.1499,0.4257,0.1798,ENGAGED,high_engagement,0
372.45,7,4,2.5,0,15,5,0.649,0.7449,0.7,0.4,0.3571,0.6132,0.8331,0.5254,0.4476,-0.0292,WAVERING,moderate_engagement,1
364.15,4,3,6.23,3,13,4,0.506,0.7283,0.4,0.3,0.8897,0.5962,0.3519,0.2382,0.8337,-0.1156,WAVERING,moderate_engagement,1
26.82,5,10,1.0,4,0,1,0.047,0.0536,0.5,1.0,0.1424,0.0649,0.6086,1.0,0.2226,-0.3213,SILENT_RECESS,low_engagement,2
316.1,3,4,0.72,3,12,3,0.215,0.6322,0.3,0.4,0.1022,0.7341,0.3581,0.4335,0.0711,0.0822,WAVERING,moderate_engagement,1
431.2,2,4,1.27,2,16,8,0.886,0.8624,0.2,0.4,0.1816,0.906,0.2039,0.3718,0.0324,0.1705,ENGAGED,high_engagement,0
430.41,0,3,5.21,1,16,4,0.602,0.8608,0.0,0.3,0.7444,0.734,0.0166,0.3776,0.868,0.061,WAVERING,high_engagement,1
448.83,1,2,1.35,1,17,6,0.743,0.8977,0.1,0.2,0.1923,0.8535,0.1062,0.1152,0.2464,0.2414,ENGAGED,high_engagement,0
203.5,7,5,12.38,1,8,1,0.373,0.407,0.7,0.5,1.0,0.4468,0.6795,0.4427,1.0,-0.3772,SILENT_RECESS,low_engagement,2
292.54,9,7,14.0,0,14,2,0.009,0.5851,0.9,0.7,1.0,0.7081,0.9818,0.7538,1.0,-0.386,SILENT_RECESS,low_engagement,2
251.16,3,5,6.85,1,9,5,0.215,0.5023,0.3,0.5,0.9783,0.5233,0.2692,0.533,0.9255,-0.2526,SILENT_RECESS,moderate_engagement,2
169.14,11,8,2.37,0,8,2,0.09,0.3383,1.0,0.8,0.3385,0.1503,0.9148,0.8557,0.3998,-0.3262,SILENT_RECESS,low_engagement,2
101.76,4,11,4.95,2,5,2,0.606,0.2035,0.4,1.0,0.7072,0.2983,0.4769,1.0,0.6536,-0.4107,SILENT_RECESS,low_engagement,2
139.54,5,2,4.32,0,6,1,0.249,0.2791,0.5,0.2,0.6175,0.1714,0.5463,0.2335,0.6464,-0.2136,SILENT_RECESS,low_engagement,2
47.32,7,9,5.08,0,0,5,0.003,0.0946,0.7,0.9,0.726,0.1449,0.7075,1.0,0.7858,-0.5,SILENT_RECESS,low_engagement,2
106.91,10,6,5.23,1,4,4,0.001,0.2138,1.0,0.6,0.7478,0.2193,0.9928,0.4266,0.6255,-0.4588,SILENT_RECESS,low_engagement,2
441.83,1,3,3.03,5,18,7,0.937,0.8837,0.1,0.3,0.4323,0.9333,0.2147,0.2929,0.3043,0.1438,ENGAGED,high_engagement,0
69.06,5,9,4.18,0,1,1,0.011,0.1381,0.5,0.9,0.5972,0.1139,0.5208,0.9224,0.6207,-0.4039,SILENT_RECESS,low_engagement,2
379.12,0,0,0.8,6,13,6,0.836,0.7582,0.0,0.0,0.1145,0.8192,0.0,0.0426,0.0748,0.2689,ENGAGED,high_engagement,0
318.98,0,1,1.06,4,13,6,0.145,0.638,0.0,0.1,0.1515,0.4235,0.0391,0.2035,0.2311,0.1897,ENGAGED,high_engagement,0
388.23,2,1,4.15,0,15,3,0.846,0.7765,0.2,0.1,0.5926,0.7871,0.1232,0.0,0.443,0.0728,WAVERING,high_engagement,1
344.17,2,0,6.42,0,13,6,0.577,0.6883,0.2,0.0,0.917,0.7788,0.0,0.0868,0.8992,-0.0398,WAVERING,high_engagement,1
74.15,6,10,0.22,0,0,4,0.029,0.1483,0.6,1.0,0.0309,0.1937,0.5137,1.0,0.0,-0.27,SILENT_RECESS,low_engagement,2
180.95,3,4,6.46,2,7,5,0.47,0.3619,0.3,0.4,0.9231,0.4238,0.3442,0.4477,1.0,-0.2722,SILENT_RECESS,moderate_engagement,2
411.67,0,3,1.86,0,17,5,0.876,0.8233,0.0,0.3,0.2662,0.7188,0.0,0.4667,0.3855,0.1895,ENGAGED,high_engagement,0
142.32,3,2,1.63,0,5,2,0.117,0.2846,0.3,0.2,0.2324,0.4672,0.3366,0.2396,0.1805,-0.0559,WAVERING,moderate_engagement,1
265.15,2,4,2.56,3,10,3,0.314,0.5303,0.2,0.4,0.3657,0.5458,0.0194,0.3665,0.2692,-0.0176,WAVERING,moderate_engagement,1
375.85,1,3,0.52,6,14,7,0.618,0.7517,0.1,0.3,0.0743,0.6774,0.0654,0.3014,0.1355,0.1984,ENGAGED,high_engagement,0
61.93,11,7,0.59,1,2,1,0.003,0.1239,1.0,0.7,0.0849,0.1023,1.0,0.8016,0.1996,-0.3159,SILENT_RECESS,low_engagement,2
80.66,5,3,3.42,1,3,4,0.101,0.1613,0.5,0.3,0.4885,0.1633,0.571,0.2942,0.4386,-0.242,SILENT_RECESS,low_engagement,2
43.64,5,3,5.87,1,1,2,0.162,0.0873,0.5,0.3,0.8386,0.2197,0.475,0.1552,0.7928,-0.3767,SILENT_RECESS,low_engagement,2
389.35,0,2,2.82,1,15,3,0.579,0.7787,0.0,0.2,0.4035,0.633,0.0,0.2737,0.3994,0.1504,ENGAGED,high_engagement,0
307.15,1,2,1.3,5,11,12,0.624,0.6143,0.1,0.2,0.1851,0.6831,0.093,0.1068,0.1839,0.1302,ENGAGED,high_engagement,0
221.66,6,7,3.69,1,9,2,0.027,0.4433,0.6,0.7,0.5265,0.54,0.7224,0.5403,0.3742,-0.2406,SILENT_RECESS,low_engagement,2
187.79,4,5,2.94,3,6,1,0.523,0.3756,0.4,0.5,0.4205,0.4474,0.4474,0.421,0.4817,-0.1559,WAVERING,moderate_engagement,1
347.02,3,3,1.85,2,13,9,0.925,0.694,0.3,0.3,0.2645,0.669,0.2306,0.2476,0.2177,0.0783,WAVERING,high_engagement,1
336.42,0,1,0.46,0,11,6,0.859,0.6728,0.0,0.1,0.0655,0.7812,0.0118,0.2022,0.1004,0.2295,ENGAGED,high_engagement,0
239.97,6,9,0.75,0,9,1,0.653,0.4799,0.6,0.9,0.1072,0.5565,0.6386,0.8333,0.0716,-0.1402,WAVERING,low_engagement,1
8.21,3,4,3.92,0,0,1,0.222,0.0164,0.3,0.4,0.5603,0.0528,0.1696,0.3532,0.5142,-0.3015,SILENT_RECESS,low_engagement,2
436.93,4,4,14.0,8,16,4,0.329,0.8739,0.4,0.4,1.0,0.8004,0.388,0.454,1.0,-0.1105,WAVERING,moderate_engagement,1
198.21,4,2,2.43,0,8,4,0.034,0.3964,0.4,0.2,0.3472,0.3787,0.369,0.1618,0.3828,-0.0656,WAVERING,moderate_engagement,1
57.75,11,13,3.44,0,1,2,0.494,0.1155,1.0,1.0,0.4919,0.2452,0.8872,0.9295,0.655,-0.5014,SILENT_RECESS,low_engagement,2
176.24,3,1,10.21,0,4,6,0.224,0.3525,0.3,0.1,1.0,0.3561,0.3407,0.1101,1.0,-0.239,SILENT_RECESS,moderate_engagement,2
415.14,2,0,1.98,0,17,5,0.31,0.8303,0.2,0.0,0.283,0.8918,0.11,0.0146,0.1784,0.2072,ENGAGED,moderate_engagement,0
261.84,3,3,2.44,1,9,1,0.63,0.5237,0.3,0.3,0.3485,0.4517,0.3495,0.3094,0.2512,-0.0151,WAVERING,moderate_engagement,1
465.36,4,2,1.18,3,20,8,0.837,0.9307,0.4,0.2,0.1687,0.9007,0.3562,0.258,0.109,0.2017,ENGAGED,high_engagement,0
482.34,0,1,3.8,6,19,5,0.731,0.9647,0.0,0.1,0.5424,0.9783,0.0,0.0604,0.5734,0.2031,ENGAGED,high_engagement,0
456.81,0,1,0.14,1,19,3,0.515,0.9136,0.0,0.1,0.0194,0.8773,0.0039,0.2249,0.0772,0.3396,ENGAGED,high_engagement,0
319.59,1,2,0.23,0,13,1,0.615,0.6392,0.1,0.2,0.0332,0.7476,0.2362,0.2278,0.0891,0.1857,ENGAGED,high_engagement,0
406.56,3,0,0.29,2,17,2,0.279,0.8131,0.3,0.0,0.0421,1.0,0.2904,0.0949,0.0087,0.2526,ENGAGED,high_engagement,0
437.31,0,2,1.95,1,19,1,0.263,0.8746,0.0,0.2,0.2785,0.9433,0.1333,0.1629,0.282,0.2263,ENGAGED,high_engagement,0
431.85,1,0,0.34,1,17,6,0.654,0.8637,0.1,0.0,0.0492,0.8614,0.0,0.0,0.0389,0.3107,ENGAGED,high_engagement,0
278.39,9,5,0.84,0,11,3,0.373,0.5568,0.9,0.5,0.1206,0.3106,0.901,0.5714,0.1641,-0.0935,WAVERING,low_engagement,1
357.5,2,3,0.63,0,15,6,0.448,0.715,0.2,0.3,0.0896,0.699,0.2101,0.3001,0.2029,0.1591,ENGAGED,high_engagement,0
453.49,0,5,5.71,0,19,5,0.419,0.907,0.0,0.5,0.8163,0.9579,0.0,0.48,0.8642,0.0179,WAVERING,high_engagement,1
166.49,5,1,1.46,0,6,4,0.391,0.333,0.5,0.1,0.2088,0.2878,0.3394,0.1965,0.1835,-0.0495,WAVERING,moderate_engagement,1
218.6,3,3,4.87,1,8,11,0.218,0.4372,0.3,0.3,0.696,0.502,0.2249,0.2353,0.7084,-0.1539,WAVERING,moderate_engagement,1
371.75,9,3,0.99,1,15,6,0.421,0.7435,0.9,0.3,0.1413,0.8854,0.8718,0.3315,0.1367,0.015,WAVERING,moderate_engagement,1
368.13,2,1,0.41,4,13,6,0.773,0.7363,0.2,0.1,0.0592,0.6808,0.3098,0.2159,0.0399,0.2168,ENGAGED,high_engagement,0
259.93,7,2,0.51,0,10,5,0.059,0.5199,0.7,0.2,0.0722,0.4057,0.7472,0.3037,0.2047,0.0063,WAVERING,moderate_engagement,1
352.39,1,1,1.69,1,13,7,0.876,0.7048,0.1,0.1,0.2414,0.7278,0.1195,0.0622,0.1409,0.1695,ENGAGED,high_engagement,0
246.96,0,1,0.35,0,10,3,0.763,0.4939,0.0,0.1,0.0496,0.4268,0.0446,0.1677,0.1198,0.1627,ENGAGED,high_engagement,0
101.19,9,8,2.86,3,3,1,0.147,0.2024,0.9,0.8,0.4079,0.2928,0.9839,0.8019,0.5217,-0.3814,SILENT_RECESS,low_engagement,2
110.49,7,9,0.39,2,4,1,0.124,0.221,0.7,0.9,0.055,0.2094,0.6369,1.0,0.0,-0.2481,SILENT_RECESS,low_engagement,2
271.05,3,5,2.42,1,10,5,0.25,0.5421,0.3,0.5,0.3456,0.5959,0.3177,0.6584,0.3138,-0.0468,WAVERING,moderate_engagement,1
431.82,2,2,5.0,0,17,3,0.398,0.8636,0.2,0.2,0.7142,0.8646,0.0892,0.1754,0.6312,0.0512,WAVERING,moderate_engagement,1
233.48,7,1,0.12,5,8,4,0.506,0.467,0.7,0.1,0.0177,0.2404,0.7416,0.0,0.0,0.0215,WAVERING,moderate_engagement,1
388.07,2,4,0.98,1,15,5,0.205,0.7761,0.2,0.4,0.1398,0.6873,0.2326,0.3713,0.0039,0.1485,ENGAGED,high_engagement,0
364.15,4,6,1.6,1,17,6,0.394,0.7283,0.4,0.6,0.2289,0.6589,0.3108,0.5769,0.3555,0.0226,WAVERING,moderate_engagement,1
175.33,2,1,1.86,0,9,8,0.585,0.3507,0.2,0.1,0.2661,0.4201,0.1536,0.1001,0.2972,0.0004,WAVERING,moderate_engagement,1
198.62,8,4,3.19,2,6,2,0.263,0.3972,0.8,0.4,0.4551,0.264,0.8723,0.4464,0.4085,-0.2176,SILENT_RECESS,low_engagement,2
228.05,4,3,1.91,4,8,5,0.034,0.4561,0.4,0.3,0.2724,0.3547,0.2041,0.3399,0.2691,-0.0393,WAVERING,moderate_engagement,1
222.01,3,3,3.78,0,7,5,0.181,0.444,0.3,0.3,0.5401,0.5045,0.2179,0.4971,0.7105,-0.1044,WAVERING,moderate_engagement,1
390.99,2,4,0.52,1,16,9,0.533,0.782,0.2,0.4,0.0745,0.739,0.3419,0.4387,0.1262,0.1705,ENGAGED,high_engagement,0
326.56,3,1,0.97,0,14,5,0.497,0.6531,0.3,0.1,0.1383,0.6199,0.324,0.1763,0.1882,0.1398,ENGAGED,moderate_engagement,0
245.26,6,1,7.79,0,8,4,0.277,0.4905,0.6,0.1,1.0,0.4226,0.7239,0.1402,0.9463,-0.2438,SILENT_RECESS,moderate_engagement,2
332.59,1,2,0.69,0,12,8,0.463,0.6652,0.1,0.2,0.0987,0.6264,0.0,0.1375,0.1499,0.1765,ENGAGED,high_engagement,0
289.36,2,1,1.61,1,13,14,0.245,0.5787,0.2,0.1,0.2303,0.7589,0.1198,0.2522,0.2289,0.1024,ENGAGED,high_engagement,0
358.19,1,5,5.97,0,13,5,0.382,0.7164,0.1,0.5,0.8524,0.8186,0.0354,0.4846,0.9089,-0.0892,WAVERING,moderate_engagement,1
353.87,1,0,0.54,1,13,6,0.85,0.7077,0.1,0.0,0.0766,0.842,0.1372,0.0,0.0,0.2401,ENGAGED,high_engagement,0
308.46,1,1,2.63,2,13,6,0.747,0.6169,0.1,0.1,0.3755,0.5787,0.0872,0.0803,0.5383,0.0941,WAVERING,high_engagement,1
108.58,5,5,0.37,2,2,3,0.262,0.2172,0.5,0.5,0.0533,0.3745,0.5257,0.5804,0.0932,-0.1291,WAVERING,low_engagement,1
218.61,2,5,2.18,0,8,5,0.319,0.4372,0.2,0.5,0.311,0.3676,0.2808,0.4414,0.4693,-0.0584,WAVERING,moderate_engagement,1
247.27,10,4,4.37,0,9,2,0.099,0.4945,1.0,0.4,0.6242,0.4308,0.906,0.3991,0.7074,-0.2694,SILENT_RECESS,low_engagement,2
185.21,4,2,3.45,1,6,1,0.211,0.3704,0.4,0.2,0.4924,0.3267,0.4494,0.1113,0.4477,-0.1196,WAVERING,moderate_engagement,1
241.08,5,9,10.64,0,8,1,0.018,0.4822,0.5,0.9,1.0,0.5406,0.5404,0.9347,0.9868,-0.3871,SILENT_RECESS,low_engagement,2
451.53,0,0,0.26,4,17,3,0.865,0.9031,0.0,0.0,0.0366,0.7405,0.0317,0.0,0.0,0.3503,ENGAGED,high_engagement,0
179.58,7,7,14.0,0,8,2,0.102,0.3592,0.7,0.7,1.0,0.3687,0.6121,0.6792,0.9153,-0.4363,SILENT_RECESS,low_engagement,2
15.57,0,8,4.95,0,0,1,0.45,0.0311,0.0,0.8,0.7071,0.1271,0.0157,0.8243,0.7635,-0.3597,SILENT_RECESS,low_engagement,2
93.01,7,6,2.9,0,3,1,0.305,0.186,0.7,0.6,0.4145,0.1763,0.7175,0.7416,0.4995,-0.31,SILENT_RECESS,low_engagement,2
207.03,3,4,12.28,2,9,4,0.097,0.4141,0.3,0.4,1.0,0.5358,0.3316,0.4799,1.0,-0.2744,SILENT_RECESS,moderate_engagement,2
430.28,4,4,0.81,3,17,8,0.782,0.8606,0.4,0.4,0.1157,0.92,0.4396,0.2696,0.1592,0.1495,ENGAGED,high_engagement,0
277.15,3,5,0.76,1,11,6,0.596,0.5543,0.3,0.5,0.1085,0.6352,0.2943,0.3398,0.1838,0.0292,WAVERING,moderate_engagement,1
274.11,8,11,6.59,2,9,3,0.058,0.5482,0.8,1.0,0.9414,0.5528,0.6932,0.8718,0.9405,-0.4231,SILENT_RECESS,low_engagement,2
273.24,3,7,1.39,1,10,5,0.058,0.5465,0.3,0.7,0.1993,0.5368,0.3675,0.73,0.087,-0.0412,WAVERING,moderate_engagement,1
249.75,4,6,2.09,0,10,7,0.218,0.4995,0.4,0.6,0.2993,0.6067,0.3364,0.7076,0.2065,-0.09,WAVERING,moderate_engagement,1
340.95,1,2,5.88,0,15,5,0.119,0.6819,0.1,0.2,0.8394,0.7559,0.1066,0.2313,0.8715,-0.0391,WAVERING,moderate_engagement,1
409.05,2,3,3.32,9,15,1,0.431,0.8181,0.2,0.3,0.4745,0.7543,0.2133,0.5036,0.4839,0.0849,WAVERING,high_engagement,1
196.22,3,4,5.83,0,7,3,0.473,0.3924,0.3,0.4,0.8329,0.4228,0.29,0.4305,0.9393,-0.2329,SILENT_RECESS,moderate_engagement,2
